Open time,Open,High,Low,Close,Volume,Trade count,VWAP
2023-06-06 17:00:00,353.62,354.78,353.57,354.09,4713683.0,38533,354.3191
2023-06-06 18:00:00,354.09,354.96,353.91,354.89,2806408.0,26756,354.4546
2023-06-06 19:00:00,354.9,355.33,354.29,354.86,7534437.0,59540,354.9478
2023-06-07 14:00:00,356.05,356.25,351.63,352.2462,11241992.0,96766,353.883
2023-06-07 15:00:00,352.265,353.11,351.07,351.2,7542673.0,58127,352.1492
2023-06-07 16:00:00,351.21,351.84,349.82,350.22,8305330.0,65559,350.9065
2023-06-07 17:00:00,350.225,350.7,349.03,349.86,9071179.0,72639,350.1477
2023-06-07 18:00:00,349.86,350.68,349.03,349.83,7124148.0,62606,349.9658
2023-06-07 19:00:00,349.83,350.04,348.18,348.8,14165700.0,114563,349.3948
2023-06-08 14:00:00,350.1,352.069,349.8,352.01,8133517.0,66304,350.9146
2023-06-08 15:00:00,352.02,353.41,351.94,352.93,6556657.0,51074,352.6576
2023-06-08 16:00:00,352.93,353.62,352.35,352.6077,4979192.0,44184,352.9013
2023-06-08 17:00:00,352.6,352.88,351.13,351.76,5020100.0,46010,351.9981
2023-06-08 18:00:00,351.77,352.8,351.5099,352.6705,3521036.0,36265,352.2363
2023-06-08 19:00:00,352.6625,353.435,352.56,353.065,7187437.0,59930,352.7692
2023-06-09 14:00:00,356.87,357.66,354.59,355.3,10798840.0,85066,356.1962
2023-06-09 15:00:00,355.31,356.61,353.8914,353.9,8991346.0,67337,354.8461
2023-06-09 16:00:00,353.92,354.58,353.03,354.41,6048689.0,48070,353.766
2023-06-09 17:00:00,354.41,355.91,354.3,355.766,4561675.0,37340,355.0324
2023-06-09 18:00:00,355.76,355.91,354.61,355.146,4081881.0,34655,355.258
2023-06-09 19:00:00,355.16,355.21,354.0501,354.49,7284921.0,60323,354.4564
2023-06-12 14:00:00,355.97,356.854,355.2,356.0014,6030914.0,66034,355.9863
2023-06-12 15:00:00,356.01,357.42,355.67,357.28,5136619.0,40623,356.4874
2023-06-12 16:00:00,357.28,357.5,356.82,357.35,2990633.0,26364,357.1168
2023-06-12 17:00:00,357.338,358.35,357.2407,358.32,3546796.0,33511,357.7343
2023-06-12 18:00:00,358.32,359.29,358.05,359.23,3812969.0,33841,358.4593
2023-06-12 19:00:00,359.2396,360.59,358.98,360.53,11322636.0,91564,359.8317
2023-06-13 14:00:00,361.515,362.3,360.03,362.09,8474483.0,82400,361.2162
2023-06-13 15:00:00,362.1,363.64,361.68,362.23,6250579.0,61789,362.8127
2023-06-13 16:00:00,362.25,363.4,361.84,363.3986,4590486.0,41799,362.7396
2023-06-13 17:00:00,363.4,363.71,362.46,363.09,4831604.0,43965,363.1442
2023-06-13 18:00:00,363.095,363.24,361.26,362.53,7155196.0,59574,362.0464
2023-06-13 19:00:00,362.53,363.41,362.4,363.26,10262333.0,75814,362.7202
2023-06-14 14:00:00,363.88,365.29,363.57,364.58,9072927.0,60746,364.6403
2023-06-14 15:00:00,364.58,366.19,364.2017,365.19,6527136.0,47885,365.328
2023-06-14 16:00:00,365.18,365.56,364.56,365.265,3929992.0,30383,365.1525
2023-06-14 17:00:00,365.27,365.28,363.83,364.2899,4520209.0,35679,364.3232
2023-06-14 18:00:00,364.2055,365.08,360.42,364.24,18660080.0,186169,362.68
2023-06-14 19:00:00,364.27,366.16,363.39,365.9,16797166.0,146536,364.6158
2023-06-15 14:00:00,366.08,368.01,365.66,367.3879,9201927.0,87450,366.9462
2023-06-15 15:00:00,367.39,369.02,367.03,368.58,8752029.0,70661,367.9905
2023-06-15 16:00:00,368.58,368.8988,367.83,368.405,4782302.0,39103,368.2966
2023-06-15 17:00:00,368.41,369.85,367.5101,369.66,4903785.0,47159,368.6418
2023-06-15 18:00:00,369.66,371.77,368.93,371.45,10701171.0,78809,369.3065
2023-06-15 19:00:00,371.46,371.67,369.83,370.26,16907479.0,125020,370.6157
2023-06-16 14:00:00,370.05,371.33,369.64,370.34,18798445.0,81605,372.1234
2023-06-16 15:00:00,370.34,371.35,369.1301,370.31,7453464.0,66972,370.1438
2023-06-16 16:00:00,370.3299,371.31,369.98,371.01,5536081.0,41529,370.4957
2023-06-16 17:00:00,371.01,371.14,369.81,370.3,4974125.0,36416,370.4219
2023-06-16 18:00:00,370.29,370.4199,368.8,368.85,6389828.0,42544,369.6195
2023-06-16 19:00:00,368.84,369.1099,367.48,367.88,19472688.0,93228,369.238
2023-06-20 14:00:00,366.27,366.87,363.8899,364.42,9648512.0,89343,365.0323
2023-06-20 15:00:00,364.435,365.54,364.428,364.82,5500727.0,43532,365.0329
2023-06-20 16:00:00,364.81,367.41,364.66,367.065,4797477.0,44381,366.332
